Rank,Name,Wallet,Shards,wShards,Odyssey Drop
97,0xbbc8…c5ed,0xbbc8…c5ed,0,997500,2961.278989
98,0xe1e5…7107,0xe1e5…7107,0,996400,2958.013418
99,0x078e…cb65,0x078e…cb65,0,987000,2930.107631
100,0xc1dd…c6da,0xc1dd…c6da,3600,986600,2928.920151
101,Fadoesh,0x856b…17ca,49700,986600,2928.920151
102,lakshmi111,0xecbb…231b,98900,985700,2926.24832
103,Six Wilder,0x4bda…91c5,127200,977300,2901.311234
104,0x3b37…6e61,0x3b37…6e61,0,976900,2900.123754
105,Prince of Cats,0xa1e0…9334,3000,972500,2887.06147
106,0x6112…cb10,0x6112…cb10,0,971000,2882.608419
107,0xa4c8…457d,0xa4c8…457d,0,963000,2858.858813
108,Athletic.Wilder,0x4738…630d,34900,962300,2856.780723
109,0xc5a6…d056,0xc5a6…d056,0,956800,2840.452869
110,wilderearth,0x47bb…f070,6300,946600,2810.172121
111,FNBofBitcoin,0xe6be…85bc,6300,944800,2804.82846
112,kc,0x21de…64b6,137300,936300,2779.594504
113,0xb704…39a9,0xb704…39a9,0,924000,2743.079484
114,Dwoo,0x64eb…a312,25700,912300,2708.345686
115,0x1549…bf6f,0x1549…bf6f,0,910400,2702.705154
116,0x5552…bdbd,0x5552…bdbd,0,892000,2648.081061
117,0xde75…cbe4,0xde75…cbe4,0,890000,2642.143659
118,0xcb86…ddaf,0xcb86…ddaf,900,879500,2610.972301
119,Hally,0x4442…dde7,1700,867600,2575.644763
120,Johnie B,0x62b4…7e9f,3800,863300,2562.879349
121,Brice Wilder,0x5492…73da,127800,862700,2561.098129
122,0x7385…54e2,0x7385…54e2,0,858900,2549.817066
123,0xed99…54ba,0xed99…54ba,0,858100,2547.442106
124,0xb41f…9192,0xb41f…9192,0,845800,2510.927086
125,Astra Wilder,0x7438…5772,2900,845100,2508.848996
126,0x9e8a…63b6,0x9e8a…63b6,0,835500,2480.349469
127,KKK,0x3fdb…6acf,2100,825800,2451.553072
128,0xd3f5…9b77,0xd3f5…9b77,0,818200,2428.990946
129,Chris Wilder,0x561d…7773,11100,816800,2424.834765
130,0x2758…9d89,0x2758…9d89,0,814000,2416.522403
131,0x1a8c…27f2,0x1a8c…27f2,0,807800,2398.116458
132,BaronQED,0xe100…d68d,650,805400,2390.991577
133,VforVeidt,0x7dd2…86f9,1300,801300,2378.819904
134,0x3dac…3638,0x3dac…3638,0,801100,2378.226163
135,0xd454…d8be,0xd454…d8be,0,793500,2355.664038
136,Ragnar D,0x4893…74b7,42100,783300,2325.38329
137,0x6a3f…a7e8,0x6a3f…a7e8,0,782500,2323.00833
138,ChromeDome,0x1c16…e7dc,101400,782400,2322.71146
139,0x6a99…b37d,0x6a99…b37d,0,772500,2293.321322
140,Stonk Master,0xa3b5…365c,2600,762200,2262.743705
